iso3,en_short,fr_short,es_short,ru_short,zh_short,ar_short
COK,Cook Islands,Îles Cook,Islas Cook,Острова Кука,库克群岛,جزر كوك
COL,Colombia,Colombie,Colombia,Колумбия,哥伦比亚,كولومبيا
COM,Comoros,Comores,Comoras,Коморские Острова,科摩罗,جزر القمر
CPV,Cabo Verde,Cabo Verde,Cabo Verde,Кабо-Верде,佛得角,كابو فيردي
CRI,Costa Rica,Costa Rica,Costa Rica,Коста-Рика,哥斯达黎加,كوستاريكا
CUB,Cuba,Cuba,Cuba,Куба,古巴,كوبا
CUW,Curaçao,Curaçao,Curazao,Кюрасао,库拉索,كوراساو
CXR,Christmas Island,Île Christmas,Isla Christmas,остров Рождества,圣诞岛,جزيرة عيد الميلاد
CYM,Cayman Islands,Îles Caïmanes,Islas Caimán,Кайман острова,开曼群岛,جزر كايمان
CYP,Cyprus,Chypre,Chipre,Кипр,塞浦路斯,قبرص
CZE,Czechia,Tchéquie,Chequia,Чехия,捷克,تشيكيا
DEU,Germany,Allemagne,Alemania,Германия,德国,ألمانيا
DJI,Djibouti,Djibouti,Djibouti,Джибути,吉布提,جيبوتي
DMA,Dominica,Dominique,Dominica,Доминика,多米尼克,دومينيكا
DNK,Denmark,Danemark,Dinamarca,Дания,丹麦,الدانمرك
DOM,Dominican Republic,République dominicaine,República Dominicana,Доминиканская Республика,多米尼加,الجمهورية الدومينيكية
DZA,Algeria,Algérie,Argelia,Алжир,阿尔及利亚,الجزائر
ECU,Ecuador,Équateur,Ecuador,Эквадор,厄瓜多尔,إكوادور
EGY,Egypt,Égypte,Egipto,Египет,埃及,مصر
ERI,Eritrea,Érythrée,Eritrea,Эритрея,厄立特里亚,إريتريا
ESH,Western Sahara,Sahara occidental,Sáhara Occidental,Западная Сахара,西撒哈拉,الصحراء الغربية
ESP,Spain,Espagne,España,Испания,西班牙,إسبانيا
EST,Estonia,Estonie,Estonia,Эстония,爱沙尼亚,إستونيا
ETH,Ethiopia,Éthiopie,Etiopía,Эфиопия,埃塞俄比亚,إثيوبيا
FIN,Finland,Finlande,Finlandia,Финляндия,芬兰,فنلندا
FJI,Fiji,Fidji,Fiji,Фиджи,斐济,فيجي
FLK,Falkland Islands (Malvinas),Îles Falkland (Malvinas),Islas Malvinas (Falkland),Фолклендские (Мальвинские) острова,福克兰群岛（马尔维纳斯）,جزر فوكلاند (مالفيناس)
FRA,France,France,Francia,Франция,法国,فرنسا
FRO,Faroe Islands,Îles Féroé,Islas Feroe,Фарерские острова,法罗群岛,جزر فايرو
FSM,Micronesia (Federated States of),Micronésie (États fédérés de),Micronesia (Estados Federados de),Микронезия (Федеративные Штаты),密克罗尼西亚联邦,ميكرونيزيا (ولايات - الموحدة)
GAB,Gabon,Gabon,Gabón,Габон,加蓬,غابون
GBR,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d’Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية
GEO,Georgia,Géorgie,Georgia,Грузия,格鲁吉亚,جورجيا
GGY,Guernsey,Guernesey,Guernsey,Гернси,格恩西,غيرنسي
GHA,Ghana,Ghana,Ghana,Гана,加纳,غانا
GIB,Gibraltar,Gibraltar,Gibraltar,Гибралтар,直布罗陀,جبل طارق
GIN,Guinea,Guinée,Guinea,Гвинея,几内亚,غينيا
GLP,Guadeloupe,Guadeloupe,Guadalupe,Гваделупа,瓜德罗普,غوادلوب
GMB,Gambia,Gambie,Gambia,Гамбия,冈比亚,غامبيا
GNB,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,Гвинея-Бисау,几内亚比绍,غينيا - بيساو
GNQ,Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial,Экваториальная Гвинея,赤道几内亚,غينيا الاستوائية
GRC,Greece,Grèce,Grecia,Греция,希腊,اليونان
GRD,Grenada,Grenade,Granada,Гренада,格林纳达,غرينادا
GRL,Greenland,Groenland,Groenlandia,Гренландия,格陵兰,غرينلند
GTM,Guatemala,Guatemala,Guatemala,Гватемала,危地马拉,غواتيمالا
GUF,French Guiana,Guyane française,Guayana Francesa,Французская Гвиана,法属圭亚那,غيانا الفرنسية
GUM,Guam,Guam,Guam,Гуам,关岛,غوام
GUY,Guyana,Guyana,Guyana,Гайана,圭亚那,غيانا
HKG,"China, Hong Kong Special Administrative Region","Chine, région administrative spéciale de Hong Kong","China, región administrativa especial de Hong Kong","Китай, Специальный административный район Гонконг",中国香港特别行政区,"الصين، منطقة هونغ كونغ الإدارية الخاصة"
HMD,Heard Island and McDonald Islands,Île Heard-et-Îles MacDonald,Islas Heard y McDonald,Остров Херд и острова Макдональд,赫德岛和麦克唐纳岛,جزيرة هيرد وجزر ماكدونالد
HND,Honduras,Honduras,Honduras,Гондурас,洪都拉斯,هندوراس
HRV,Croatia,Croatie,Croacia,Хорватия,克罗地亚,كرواتيا
HTI,Haiti,Haïti,Haití,Гаити,海地,هايتي
HUN,Hungary,Hongrie,Hungría,Венгрия,匈牙利,هنغاريا
IDN,Indonesia,Indonésie,Indonesia,Индонезия,印度尼西亚,إندونيسيا
IMN,Isle of Man,Île de Man,Isla de Man,Остров Мэн,马恩岛,جزيرة مان
IND,India,Inde,India,Индия,印度,الهند
IOT,British Indian Ocean Territory,Territoire britannique de l'océan Indien,Territorio Británico del Océano Índico,Британская территория в Индийском океане,英属印度洋领土,المحيط الهندي الإقليم البريطاني في
IRL,Ireland,Irlande,Irlanda,Ирландия,爱尔兰,آيرلندا
IRN,Iran (Islamic Republic of),Iran (République islamique d’),Irán (República Islámica del),Иран (Исламская Республика),伊朗伊斯兰共和国,إيران (جمهورية - الإسلامية)
IRQ,Iraq,Iraq,Iraq,Ирак,伊拉克,العراق
ISL,Iceland,Islande,Islandia,Исландия,冰岛,آيسلندا
ISR,Israel,Israël,Israel,Израиль,以色列,إسرائيل
ITA,Italy,Italie,Italia,Италия,意大利,إيطاليا
JAM,Jamaica,Jamaïque,Jamaica,Ямайка,牙买加,جامايكا
JEY,Jersey,Jersey,Jersey,Джерси,泽西,جيرسي
JOR,Jordan,Jordanie,Jordania,Иордания,约旦,الأردن
JPN,Japan,Japon,Japón,Япония,日本,اليابان
KAZ,Kazakhstan,Kazakhstan,Kazajstán,Казахстан,哈萨克斯坦,كازاخستان
KEN,Kenya,Kenya,Kenya,Кения,肯尼亚,كينيا
KGZ,Kyrgyzstan,Kirghizistan,Kirguistán,Кыргызстан,吉尔吉斯斯坦,قيرغيزستان
KHM,Cambodia,Cambodge,Camboya,Камбоджа,柬埔寨,كمبوديا
KIR,Kiribati,Kiribati,Kiribati,Кирибати,基里巴斯,كيريباس
KNA,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,Сент-Китс и Невис,圣基茨和尼维斯,سانت كيتس ونيفس
KOR,Republic of Korea,République de Corée,República de Corea,Республика Корея,大韩民国,جمهورية كوريا
KWT,Kuwait,Koweït,Kuwait,Кувейт,科威特,الكويت
LAO,Lao People's Democratic Republic,République démocratique populaire lao,República Democrática Popular Lao,Лаосская Народно-Демократическая Республика,老挝人民民主共和国,جمهورية لاو الديمقراطية الشعبية
LBN,Lebanon,Liban,Líbano,Ливан,黎巴嫩,لبنان
LBR,Liberia,Libéria,Liberia,Либерия,利比里亚,ليبريا
LBY,Libya,Libye,Libia,Ливия,利比亚,ليبيا
LCA,Saint Lucia,Sainte-Lucie,Santa Lucía,Сент-Люсия,圣卢西亚,سانت لوسيا
LIE,Liechtenstein,Liechtenstein,Liechtenstein,Лихтенштейн,列支敦士登,ليختنشتاين
LKA,Sri Lanka,Sri Lanka,Sri Lanka,Шри-Ланка,斯里兰卡,سري لانكا
LSO,Lesotho,Lesotho,Lesotho,Лесото,莱索托,ليسوتو
LTU,Lithuania,Lituanie,Lituania,Литва,立陶宛,ليتوانيا
LUX,Luxembourg,Luxembourg,Luxemburgo,Люксембург,卢森堡,لكسمبرغ
LVA,Latvia,Lettonie,Letonia,Латвия,拉脱维亚,لاتفيا
MAC,"China, Macao Special Administrative Region","Chine, région administrative spéciale de Macao","China, región administrativa especial de Macao","Китай, Специальный административный район Макао",中国澳门特别行政区,"الصين، منطقة ماكاو الإدارية الخاصة"
MAF,Saint Martin (French Part),Saint-Martin (partie française),San Martín (parte francesa),Сен-Мартен (французская часть),圣马丁（法属）,سانت مارتن (الجزء الفرنسي)
MAR,Morocco,Maroc,Marruecos,Марокко,摩洛哥,المغرب
MCO,Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو
MDA,Republic of Moldova,République de Moldova,República de Moldova,Республика Молдова,摩尔多瓦共和国,جمهورية مولدوفا
MDG,Madagascar,Madagascar,Madagascar,Мадагаскар,马达加斯加,مدغشقر
MDV,Maldives,Maldives,Maldivas,Мальдивские Острова,马尔代夫,ملديف
MEX,Mexico,Mexique,México,Мексика,墨西哥,المكسيك
MHL,Marshall Islands,Îles Marshall,Islas Marshall,Маршалловы Острова,马绍尔群岛,جزر مارشال
MKD,North Macedonia,Macédoine du Nord,Macedonia del Norte,Северная Македония,北马其顿,مقدونيا الشمالية
MLI,Mali,Mali,Malí,Мали,马里,مالي
MLT,Malta,Malte,Malta,Мальта,马耳他,مالطة
MMR,Myanmar,Myanmar,Myanmar,Мьянма,缅甸,ميانمار
MNE,Montenegro,Monténégro,Montenegro,Черногория,黑山,الجبل الأسود
MNG,Mongolia,Mongolie,Mongolia,Монголия,蒙古,منغوليا
MNP,Northern Mariana Islands,Îles Mariannes du Nord,Islas Marianas Septentrionales,Северные Марианские острова,北马里亚纳群岛,جزر ماريانا الشمالية
MOZ,Mozambique,Mozambique,Mozambique,Мозамбик,莫桑比克,موزامبيق
MRT,Mauritania,Mauritanie,Mauritania,Мавритания,毛里塔尼亚,موريتانيا
MSR,Montserrat,Montserrat,Montserrat,Монтсеррат,蒙特塞拉特,مونتسيرات
MTQ,Martinique,Martinique,Martinica,Мартиника,马提尼克,مارتينيك
MUS,Mauritius,Maurice,Mauricio,Маврикий,毛里求斯,موريشيوس
MWI,Malawi,Malawi,Malawi,Малави,马拉维,ملاوي
MYS,Malaysia,Malaisie,Malasia,Малайзия,马来西亚,ماليزيا
MYT,Mayotte,Mayotte,Mayotte,Остров Майотта,马约特,مايوت
NAM,Namibia,Namibie,Namibia,Намибия,纳米比亚,ناميبيا
NCL,New Caledonia,Nouvelle-Calédonie,Nueva Caledonia,Новая Каледония,新喀里多尼亚,كاليدونيا الجديدة
NER,Niger,Niger,Níger,Нигер,尼日尔,النيجر
NFK,Norfolk Island,Île Norfolk,Isla Norfolk,Остров Норфолк,诺福克岛,جزيرة نورفولك
NGA,Nigeria,Nigéria,Nigeria,Нигерия,尼日利亚,نيجيريا
NIC,Nicaragua,Nicaragua,Nicaragua,Никарагуа,尼加拉瓜,نيكاراغوا
NIU,Niue,Nioué,Niue,Ниуэ,纽埃,نيوي
NLD,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰王国,هولندا (مملكة _)
NOR,Norway,Norvège,Noruega,Норвегия,挪威,النرويج
NPL,Nepal,Népal,Nepal,Непал,尼泊尔,نيبال
NRU,Nauru,Nauru,Nauru,Науру,瑙鲁,ناورو
NZL,New Zealand,Nouvelle-Zélande,Nueva Zelandia,Новая Зеландия,新西兰,نيوزيلندا
OMN,Oman,Oman,Omán,Оман,阿曼,عمان
PAK,Pakistan,Pakistan,Pakistán,Пакистан,巴基斯坦,باكستان
PAN,Panama,Panama,Panamá,Панама,巴拿马,بنما
PCN,Pitcairn,Pitcairn,Pitcairn,Питкэрн,皮特凯恩,بيتكرن
PER,Peru,Pérou,Perú,Перу,秘鲁,بيرو
PHL,Philippines,Philippines,Filipinas,Филиппины,菲律宾,الفلبين
PLW,Palau,Palaos,Palau,Палау,帕劳,بالاو
PNG,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nueva Guinea,Папуа-Новая Гвинея,巴布亚新几内亚,بابوا غينيا الجديدة
POL,Poland,Pologne,Polonia,Польша,波兰,بولندا
PRI,Puerto Rico,Porto Rico,Puerto Rico,Пуэрто-Рико,波多黎各,بورتوريكو
PRK,Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática de Corea,Корейская Народно-Демократическая Республика,朝鲜民主主义人民共和国,جمهورية كوريا الشعبية الديمقراطية
PRT,Portugal,Portugal,Portugal,Португалия,葡萄牙,البرتغال
PRY,Paraguay,Paraguay,Paraguay,Парагвай,巴拉圭,باراغواي
PSE,State of Palestine,État de Palestine,Estado de Palestina,Государство Палестина,巴勒斯坦国,دولة فلسطين
PYF,French Polynesia,Polynésie française,Polinesia Francesa,Французская Полинезия,法属波利尼西亚,بولينيزيا الفرنسية
QAT,Qatar,Qatar,Qatar,Катар,卡塔尔,قطر
REU,Réunion,Réunion,Reunión,Реюньон,留尼汪,ريونيون
ROU,Romania,Roumanie,Rumania,Румыния,罗马尼亚,رومانيا
RUS,Russian Federation,Fédération de Russie,Federación de Rusia,Российская Федерация,俄罗斯联邦,الاتحاد الروسي
RWA,Rwanda,Rwanda,Rwanda,Руанда,卢旺达,رواندا
SAU,Saudi Arabia,Arabie saoudite,Arabia Saudita,Саудовская Аравия,沙特阿拉伯,المملكة العربية السعودية
SDN,Sudan,Soudan,Sudán,Судан,苏丹,السودان
SEN,Senegal,Sénégal,Senegal,Сенегал,塞内加尔,السنغال
SGP,Singapore,Singapour,Singapur,Сингапур,新加坡,سنغافورة
SGS,South Georgia and the South Sandwich Islands,Géorgie du Sud-et-les Îles Sandwich du Sud,Georgia del Sur y las Islas Sandwich del Sur,Южная Джорджия и Южные Сандвичевы острова,南乔治亚岛和南桑德韦奇岛,جورجيا الجنوبية وجزر ساندويتش الجنوبية
SHN,Saint Helena,Sainte-Hélène,Santa Elena,Остров Святой Елены,圣赫勒拿,سانت هيلانة
SJM,Svalbard and Jan Mayen Islands,Îles Svalbard-et-Jan Mayen,Islas Svalbard y Jan Mayen,Острова Свальбард и Ян-Майен,斯瓦尔巴群岛和扬马延岛,جزيرتي سفالبارد وجان مايِن
SLB,Solomon Islands,Îles Salomon,Islas Salomón,Соломоновы Острова,所罗门群岛,جزر سليمان
SLE,Sierra Leone,Sierra Leone,Sierra Leona,Сьерра-Леоне,塞拉利昂,سيراليون
SLV,El Salvador,El Salvador,El Salvador,Сальвадор,萨尔瓦多,السلفادور
SMR,San Marino,Saint-Marin,San Marino,Сан-Марино,圣马力诺,سان مارينو
SOM,Somalia,Somalie,Somalia,Сомали,索马里,الصومال
SPM,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,San Pedro y Miquelón,Сен-Пьер и Микелон,圣皮埃尔和密克隆,سان بيير وميكلون
SRB,Serbia,Serbie,Serbia,Сербия,塞尔维亚,صربيا
SSD,South Sudan,Soudan du Sud,Sudán del Sur,Южный Судан,南苏丹,جنوب السودان
STP,Sao Tome and Principe,Sao Tomé-et-Principe,Santo Tomé y Príncipe,Сан-Томе и Принсипи,圣多美和普林西比,سان تومي وبرينسيبي
SUR,Suriname,Suriname,Suriname,Суринам,苏里南,سورينام
SVK,Slovakia,Slovaquie,Eslovaquia,Словакия,斯洛伐克,سلوفاكيا
SVN,Slovenia,Slovénie,Eslovenia,Словения,斯洛文尼亚,سلوفينيا
SWE,Sweden,Suède,Suecia,Швеция,瑞典,السويد
SWZ,Eswatini,Eswatini,Eswatini,Эсватини,斯威士兰,إسواتيني
SXM,Sint Maarten (Dutch part),Saint-Martin (partie néerlandaise),San Martín (parte Holandesa),Синт-Мартен (нидерландская часть),圣马丁（荷属）,سانت مارتن (الجزء الهولندي)
SYC,Seychelles,Seychelles,Seychelles,Сейшельские Острова,塞舌尔,سيشيل
SYR,Syrian Arab Republic,République arabe syrienne,República Árabe Siria,Сирийская Арабская Республика,阿拉伯叙利亚共和国,الجمهورية العربية السورية
TCA,Turks and Caicos Islands,Îles Turques-et-Caïques,Islas Turcas y Caicos,Острова Теркс и Кайкос,特克斯和凯科斯群岛,جزر تركس وكايكوس
TCD,Chad,Tchad,Chad,Чад,乍得,تشاد
TGO,Togo,Togo,Togo,Того,多哥,توغو
THA,Thailand,Thaïlande,Tailandia,Таиланд,泰国,تايلند
TJK,Tajikistan,Tadjikistan,Tayikistán,Таджикистан,塔吉克斯坦,طاجيكستان
TKL,Tokelau,Tokélaou,Tokelau,Токелау,托克劳,توكيلاو
TKM,Turkmenistan,Turkménistan,Turkmenistán,Туркменистан,土库曼斯坦,تركمانستان
TLS,Timor-Leste,Timor-Leste,Timor-Leste,Тимор-Лешти,东帝汶,تيمور - ليشتي
TON,Tonga,Tonga,Tonga,Тонга,汤加,تونغا
TTO,Trinidad and Tobago,Trinité-et-Tobago,Trinidad y Tabago,Тринидад и Тобаго,特立尼达和多巴哥,ترينيداد وتوباغو
TUN,Tunisia,Tunisie,Túnez,Тунис,突尼斯,تونس
TUR,Türkiye,Türkiye,Türkiye,Турция,土耳其,تركيا
TUV,Tuvalu,Tuvalu,Tuvalu,Тувалу,图瓦卢,توفالو
TZA,United Republic of Tanzania,République-Unie de Tanzanie,República Unida de Tanzanía,Объединенная Республика Танзания,坦桑尼亚联合共和国,جمهورية تنزانيا المتحدة
UGA,Uganda,Ouganda,Uganda,Уганда,乌干达,أوغندا
UKR,Ukraine,Ukraine,Ucrania,Украина,乌克兰,أوكرانيا
UMI,United States Minor Outlying Islands,Îles mineures éloignées des États-Unis,Islas menores alejadas de Estados Unidos,Внешние малые острова Соединенных Штатов,美国本土外小岛屿,نائية التابعة للولايات المتحدة
URY,Uruguay,Uruguay,Uruguay,Уругвай,乌拉圭,أوروغواي
USA,United States of America,États-Unis d’Amérique,Estados Unidos de América,Соединенные Штаты Америки,美利坚合众国,الولايات المتحدة الأمريكية
UZB,Uzbekistan,Ouzbékistan,Uzbekistán,Узбекистан,乌兹别克斯坦,أوزبكستان
VAT,Holy See,Saint-Siège,Santa Sede,Святой Престол,教廷,الكرسي الرسولي
VCT,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,Сент-Винсент и Гренадины,圣文森特和格林纳丁斯,سانت فنسنت وجزر غرينادين
VEN,Venezuela (Bolivarian Republic of),Venezuela (République bolivarienne du),Venezuela (República Bolivariana de),Венесуэла (Боливарианская Республика),委内瑞拉玻利瓦尔共和国,فنزويلا (جمهورية - البوليفارية)
VGB,British Virgin Islands,Îles Vierges britanniques,Islas Vírgenes Británicas,Британские Виргинские острова,英属维尔京群岛,جزر فرجن البريطانية
VIR,United States Virgin Islands,Îles Vierges américaines,Islas Vírgenes de los Estados Unidos,Виргинские острова Соединенных Штатов,美属维尔京群岛,جزر فرجن التابعة للولايات المتحدة
VNM,Viet Nam,Viet Nam,Viet Nam,Вьетнам,越南,فييت نام
VUT,Vanuatu,Vanuatu,Vanuatu,Вануату,瓦努阿图,فانواتو
WLF,Wallis and Futuna Islands,Îles Wallis-et-Futuna,Islas Wallis y Futuna,Острова Уоллис и Футуна,瓦利斯群岛和富图纳群岛,جزر واليس وفوتونا
WSM,Samoa,Samoa,Samoa,Самоа,萨摩亚,ساموا
YEM,Yemen,Yémen,Yemen,Йемен,也门,اليمن
ZAF,South Africa,Afrique du Sud,Sudáfrica,Южная Африка,南非,جنوب أفريقيا
ZMB,Zambia,Zambie,Zambia,Замбия,赞比亚,زامبيا
ZWE,Zimbabwe,Zimbabwe,Zimbabwe,Зимбабве,津巴布韦,زمبابوي
